OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Persons who reported having private health insurance (no.) (Data year: 2022),Persons with disability (no.) (Data year: 2018),Persons with disability (%) (Data year: 2018),Persons with profound/severe core activity limitation (no.) (Data year: 2018),Persons with profound/severe core activity limitation (%) (Data year: 2018),Persons with moderate/mild core activity limitation (no.) (Data year: 2018),Persons with moderate/mild core activity limitation (%) (Data year: 2018),Persons who are carers (no.) (Data year: 2018),Persons who are carers (%) (Data year: 2018),Persons aged 15 years and over who are primary carers (no.) (Data year: 2018),Persons aged 15 years and over who are primary carers (%) (Data year: 2018),Persons who are non-primary carers (no.) (Data year: 2018),Persons who are non-primary carers (%) (Data year: 2018),"Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (no.) (Data year: 2018)","Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (%) (Data year: 2018)",Persons with disability who need assistance or have difficulty with personal/health care (no.) (Data year: 2018),Persons with disability who need assistance or have difficulty with personal/health care (%) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (no.) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (%) (Data year: 2018),Persons who have need for assistance with core activities (no.) (Data year: 2021),Persons who have need for assistance with core activities (%) (Data year: 2021),Persons with long-term health condition(s): Arthritis (%) (Data year: 2021),Persons with long-term health condition(s): Asthma (%) (Data year: 2021),Persons with long-term health condition(s): Cancer (including remission) (%) (Data year: 2021),Persons with long-term health condition(s): Dementia (including Alzheimer's) (%) (Data year: 2021),Persons with long-term health condition(s): Diabetes (excluding gestational diabetes) (%) (Data year: 2021),Persons with long-term health condition(s): Heart disease (including heart attack or angina) (%) (Data year: 2021),Persons with long-term health condition(s): Kidney disease (%) (Data year: 2021),Persons with long-term health condition(s): Lung condition (including COPD or emphysema) (%) (Data year: 2021),Persons with long-term health condition(s): Mental health condition (including depression or anxiety) (%) (Data year: 2021),Persons with long-term health condition(s): Stroke (%) (Data year: 2021),Persons with other long-term health condition(s) (%) (Data year: 2021),Persons with no long-term health condition(s) (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
292,39499,No usual address (Qld),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/39499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278d13fb-9bf7-4226-b88a-29d27f33458c,,
293,39799,Migratory - Offshore - Shipping (Qld),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/39799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14ab94ab-edec-436b-bd78-ad3c82e7c2c3,,
294,40070,Adelaide,15.5733,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40070,9462,3339,13.8,776,3.2,1383,5.7,1344,5.6,621,2.7,943,3.9,1047,4.6,1427,5.9,833,3.7,330,1.6,152,0.7,850,3.4,5.3,6.1,2.7,0.6,2.8,3,0.4,1,9,0.6,6.9,64.4,e2393e95-8f08-46ef-9771-7d0e91aab356,0.00153618445528991,0.157649995122564
295,40120,Adelaide Hills,794.4957,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40120,19505,6636,16.7,1699,4.3,3719,9.4,4391,11.1,1449,4.5,3487,8.8,2680,8.3,3556,8.9,1350,4.3,773,2.4,263,0.8,1540,3.8,8.8,8.5,3.4,0.7,3.6,4,0.7,1.4,8.2,0.8,8.3,60.9,aa950373-9d96-40f4-9992-9929a843135b,0.0783482662800452,1.88177250318661
296,40150,Adelaide Plains,932.4913,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40150,3234,1888,20.8,489,5.4,951,10.5,1089,12,388,5.3,781,8.6,784,10.6,987,10.9,470,6.5,273,3.5,92,1.2,593,6,10.8,11.2,2.6,0.5,5.9,4.4,0.9,2.3,9.8,1,8.3,55.8,b71c6f4b-8c71-4ad1-be75-99df87d7507a,0.0915082036667627,1.61025457161645
297,40220,Alexandrina,1826.8067,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40220,9310,6524,24.4,1694,6.3,3808,14.2,2850,10.7,1363,6,1806,6.8,3020,13.3,3387,12.7,1615,7.2,557,2.9,190,1,2270,7.9,14.6,9,4.8,1.2,6.6,7.1,1.1,2.8,11.2,1.6,9.8,51,830da374-94de-437c-bb44-61a53cc73a93,0.181147802402393,2.18138773700741
298,40250,Anangu Pitjantjatjara Yunkunytjatjara,102348.117,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40250,65,,,,,,,,,,,,,,,,,,,,,,,104,4.5,0.8,4.5,0.3,0.6,9.5,3.8,0.7,0.5,2.7,,5.8,67,fe3cbfca-e228-442c-ac33-e7810e866c95,9.30752987651817,15.1382544305592
299,40310,Barossa,893.5424,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40310,9619,4617,18.8,1354,5.5,2685,10.9,2715,11,987,4.9,1986,8.1,1897,9.5,2143,8.7,1198,6.1,446,2.3,202,1,1470,5.9,11.3,9.4,3.5,0.9,5.4,4.6,0.9,1.9,10.3,0.9,8.4,56.8,4edbd331-c721-4e62-bcdc-220dd67b197a,0.0878313688790513,2.06210135062563
300,40430,Barunga West,1590.3887,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40430,883,588,23.3,169,6.7,389,15.4,261,10.4,139,6.4,198,7.9,287,13.3,324,12.9,145,6.8,59,3.3,23,1.3,276,10.5,17.9,11.1,5,1.9,8.5,6.7,1.5,3.3,10.5,1.9,10.5,46.3,6fc651fe-5f23-41cc-8cc9-3b06203e0a83,0.154838871364973,2.48919726084455
301,40520,Berri Barmera,476.1962,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40520,2530,2343,21.8,711,6.6,1540,14.3,1180,11,504,5.7,875,8.1,1195,13.6,1325,12.3,566,6.5,263,3.1,100,1.2,915,8.7,13.6,10.9,3.6,1.1,7.7,5.7,1.2,3.4,11.3,1.2,8.8,52.3,e7c8f834-c201-43d0-bcb2-e663833fa245,0.0466131056118684,1.98721576291435
302,40700,Burnside,27.5183,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40700,25246,6560,14.5,1928,4.3,3947,8.7,3730,8.3,1484,4,2655,5.9,2742,7.3,3194,7.1,1641,4.5,550,1.5,215,0.6,2196,4.8,8.1,6.6,3.6,1.1,4,4.5,0.7,1.3,6.8,0.9,7.9,65.1,b64ec49d-d71b-45e0-bb77-6e9e3ba6ea0c,0.00271523046103539,0.32682402765221
303,40910,Campbelltown (SA),24.3485,https://linked.data.gov.au/dataset/asgsed3/LGA2021/40910,23882,9387,18.4,2830,5.5,5188,10.2,4709,9.2,1922,4.5,3506,6.9,4245,10,4531,8.9,2075,5,821,2,373,0.9,3509,6.4,8.6,6.8,3,1,5.5,4.5,0.8,1.5,7.8,0.9,8.2,63.5,f0f11070-ea81-4b28-aadc-6cb2c1ffc7a9,0.00240094789569412,0.272299796403441
304,41010,Ceduna,5420.3435,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41010,864,,,,,,,,,,,,,,,,,,,,,,,132,3.8,7.8,7.9,2.9,0.5,5.9,4.6,1.1,1.8,6.5,0.7,5.7,58.6,902b03bc-f2a5-4fa3-ab61-5142668bb91d,0.51788393656625,5.99471690294971
305,41060,Charles Sturt,54.7876,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41060,49584,19404,16.7,6394,5.5,10966,9.4,9862,8.5,4579,4.7,7224,6.2,8883,9.1,10987,9.4,5727,5.9,2184,2.3,855,0.9,8586,7,9.3,7.6,3.1,1.2,5.5,4.4,1,1.7,9,1.1,8.6,60.6,82d0c476-f031-42f7-8604-18c2bac63e96,0.00540283953932885,0.437964794847391
306,41140,Clare and Gilbert Valleys,1892.4466,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41140,3459,2120,23,495,5.4,1182,12.8,1265,13.7,406,5.4,935,10.1,792,10.5,832,9,454,6.1,195,2.7,79,1.1,578,6.3,11.8,9.5,3.5,0.8,6,5.2,1.2,2.4,10.4,1,7.9,54.4,3ba376cb-9965-4cd0-8c20-ffe69ba3ff22,0.184682405205422,2.38458581293104
307,41190,Cleve,5018.8483,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41190,636,318,17.7,81,4.5,229,12.8,196,10.9,64,4.5,164,9.1,135,9.4,152,8.5,95,6.7,36,2.5,14,1,88,5.1,9.1,9.5,2.8,0.9,5.2,3.5,0.2,1.3,6.5,0.9,5.7,60.8,1843bff0-45c9-4b38-9708-58e435ef7699,0.48780246023307,2.81091272056736
308,41330,Coober Pedy,77.6795,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41330,255,,,,,,,,,,,,,,,,,,,,,,,90,5.7,8.8,6.5,3,0.7,6,5.2,0.2,2.6,6.3,1.5,5.5,49.3,d2ed764d-602d-4ee3-8abc-a16dc2d63fe8,0.00719376099527835,0.34515033537909
309,41560,Copper Coast,772.9149,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41560,4300,3556,24.2,1215,8.3,2485,16.9,2140,14.5,843,6.8,1441,9.8,1791,14.5,2098,14.3,859,7.1,457,4.3,133,1.2,1344,8.9,16.2,11.3,4.8,1,8.7,7.2,1.4,3.9,11.4,1.4,10.2,46.8,a59a78da-79eb-430f-9394-ea8eae8194af,0.0754100448889403,1.49367115683949
310,41750,Elliston,6741.9317,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41750,298,,,,,,,,,,,,,,,,,,,,,,,49,4.8,11,7.9,2.5,2,5,5.5,1.3,3,7.4,0.6,5.2,56.4,a333ff77-9769-41b0-9d92-db0adbc376b8,0.654615674256547,5.09832915935551
311,41830,Flinders Ranges,4070.4827,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41830,500,,,,,,,,,,,,,,,,,,,,,,,137,8.3,13.1,8.4,3.6,1.6,8.4,6.4,0.8,2.7,8.6,1,6.6,51.8,e36d5d2a-9f9d-4e2f-bf47-ed87bc5eafc1,0.388797582081224,3.38856954174717
312,41960,Franklin Harbour,2755.5639,https://linked.data.gov.au/dataset/asgsed3/LGA2021/41960,442,286,22.4,72,5.6,206,16.1,166,13,57,5.5,129,10.1,120,11.5,141,11,77,7.5,28,3,11,1.2,83,6.4,14,8.7,4.6,1.4,6.7,4.9,0.5,2.3,6.1,1,6.6,52.4,c0924b29-961e-474d-bc07-9df521a22097,0.267471086469868,2.3690155965231
313,42030,Gawler,41.1379,https://linked.data.gov.au/dataset/asgsed3/LGA2021/42030,7915,6123,25.7,1559,6.6,3096,13,2384,10,955,4.9,1815,7.6,2153,11.1,2944,12.4,1485,7.8,595,3.1,209,1.1,2177,8.7,12.7,11.4,3.8,1.4,7,5.6,1,2.8,13.3,1.2,10.4,51.2,a00e2a8d-a8b2-4219-ba91-bb0467c4652b,0.00404368137378697,0.384624763621907
314,42110,Goyder,6715.1418,https://linked.data.gov.au/dataset/asgsed3/LGA2021/42110,1157,1001,24,253,6.1,597,14.3,632,15.1,218,6.3,560,13.4,481,13.8,465,11.1,209,6.1,124,3.8,40,1.2,329,8.1,14.6,10.1,4.3,1,7,5.5,1,3.1,11.4,1.5,9.3,50.3,f0dcd931-91df-4143-8f48-ac614d39b0ee,0.652646468065996,3.97231175113003
315,42250,Grant,1897.8235,https://linked.data.gov.au/dataset/asgsed3/LGA2021/42250,2616,1341,16.8,447,5.6,826,10.4,924,11.6,330,5.1,720,9,577,9,858,10.8,265,4.2,210,3.2,85,1.3,325,3.8,8.5,7.5,2.5,0.2,4.5,4,0.8,1.5,6.1,0.8,6.1,54,405fb3c9-e149-4e76-85d5-3f049a94c6c0,0.194266924764179,2.66425608502241
316,42600,Holdfast Bay,13.752,https://linked.data.gov.au/dataset/asgsed3/LGA2021/42600,18670,6719,18.6,1802,5,3943,10.9,2803,7.8,1315,4.2,1569,4.3,2576,8.3,2474,6.8,1769,5.8,539,1.9,158,0.6,2448,6.5,10.9,8,4.3,1.4,4.5,5.6,0.9,2,8.9,1.1,8.8,57.9,9621c418-20a6-4bb8-97ba-43d72a1fa430,0.00135794002108014,0.234186722589892
317,42750,Kangaroo Island,4400.863,https://linked.data.gov.au/dataset/asgsed3/LGA2021/42750,1352,884,18,273,5.6,657,13.4,527,10.7,208,5.1,370,7.5,371,9.1,415,8.4,272,6.7,103,2.7,40,1.1,213,4.4,10.5,7.9,3.7,0.6,5.2,5.2,0.9,1.8,8.1,1.2,7.5,54.6,a5a4268f-5f4f-4eba-a4b7-99dceb0f9a29,0.438950697344353,5.73041191530898
318,43080,Karoonda East Murray,4415.796,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43080,257,218,20.1,70,6.5,146,13.5,141,13,50,5.7,101,9.3,95,10.7,130,12,61,7,30,3.7,11,1.4,85,8.4,10.7,8.7,2.8,1.2,5.2,5.1,0.7,3.2,8.9,1,8.7,51.4,797c9ced-b81c-4552-84d1-41218db9f9c4,0.435761063318751,3.1014519109265
319,43220,Kimba,5697.1074,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43220,444,168,15.9,45,4.3,124,11.8,97,9.2,34,4.3,84,8,71,9,86,8.2,51,6.6,20,2.4,8,0.9,55,5.3,9.4,11.5,4.5,1.1,5.7,4.3,2.1,1.8,8.3,0.8,4.7,57.4,d6a8359b-3c10-48b4-999e-1e06e5a74af8,0.54970704507241,4.62536658683636
320,43360,Kingston (SA),3339.7952,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43360,770,499,21.1,143,6,347,14.7,251,10.6,104,5.2,188,7.9,207,10.4,261,11,123,6.3,45,2.6,12,0.7,137,5.9,13.2,8.2,3.5,0.8,7.7,6.5,0.7,2.3,7.8,1.8,6.6,54.6,3acf1127-702e-4a12-beb8-fb3abfb93d27,0.336551936096839,3.21299458702736
321,43650,Light,1276.8453,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43650,5860,2595,16.9,768,5,1347,8.8,1752,11.4,592,4.9,1245,8.1,967,8,1203,7.8,659,5.5,357,2.7,143,1.1,819,5.2,9.6,10.7,2.9,0.5,4.9,3.7,0.7,1.9,10.1,0.6,8.5,57.8,e921a1a4-34de-4fd1-a249-92dc8bfbbb1f,0.125198368685233,2.44174608711429
322,43710,Lower Eyre Peninsula,4721.3922,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43710,1980,,,,,,,,,,,,,,,,,,,,,,,193,3.3,9,8.2,2.7,0.5,4.4,3.6,0.3,1.8,6.3,0.8,5.6,60,a209d217-3dae-48dc-bab2-d85c8c6a1de5,0.4629583591136,8.33233310343224
323,43790,Loxton Waikerie,7763.8714,https://linked.data.gov.au/dataset/asgsed3/LGA2021/43790,3202,2365,20.3,775,6.6,1486,12.7,1381,11.8,552,5.8,931,8,1175,12.3,1428,12.2,607,6.4,292,3.2,101,1.1,858,7.4,12.7,9.4,3.9,1.4,6.4,5.1,0.7,2.2,8.7,1,8.3,54.4,68eefdd3-7c02-4783-bfd0-80d762ee4292,0.76214601450738,5.57557530802197
324,44000,Maralinga Tjarutja,105766.3105,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44000,,,,,,,,,,,,,,,,,,,,,,,,10,10.4,3.2,3.2,,,,,,,3.2,,,25.5,3a68429c-6ecf-4929-8314-aaa173cca3dc,9.83240475048819,13.2085234896777
325,44060,Marion,55.6406,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44060,38207,16298,17.8,4640,5.1,9023,9.9,8347,9.1,3529,4.6,5751,6.3,6858,9,8166,8.9,4398,5.8,1829,2.4,669,0.9,6225,6.6,9.4,8.6,3.2,1.1,5.3,4.5,0.9,1.9,9.8,1.1,9.3,60,221f11e4-95af-4d20-9e10-38c9df286708,0.00549585987118917,0.413258006422361
326,44210,Mid Murray,6271.6255,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44210,2196,2865,33,674,7.8,1541,17.7,1567,18,489,6.5,1222,14.1,1336,17.8,1376,15.8,671,9.1,245,3.9,78,1.2,706,7.7,14.7,9.2,4,0.6,7.5,6.2,0.9,3.6,11.4,1.5,8.8,47.7,5704daca-2965-4883-8d8b-bc888df39802,0.615246417986327,4.83921916565552
327,44340,Mitcham,75.5468,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44340,33277,10384,15.6,2963,4.5,6268,9.4,5413,8.1,2271,4.2,4349,6.5,4460,8.2,4887,7.3,2532,4.7,990,1.8,401,0.7,3626,5.4,9,8.1,3.6,1,4.3,4.6,0.7,1.4,8.6,0.9,8.9,61.3,40bde4b8-a841-4247-9c8e-1d7d0c743140,0.00745994020962826,0.440742764601272
328,44550,Mount Barker,594.6406,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44550,15755,7085,20.2,1658,4.7,3590,10.2,4184,11.9,1343,4.8,2946,8.4,2709,9.7,3347,9.5,1596,5.8,733,2.5,291,1,2084,5.3,9.2,9.7,3.2,0.8,4.5,4,0.8,1.7,10.6,0.9,8.9,58.4,caf9290c-2450-4830-896f-7c8e2209ef4d,0.0587758126775952,1.61640201400282
329,44620,Mount Gambier,33.8938,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44620,7186,5692,21.2,1397,5.2,3282,12.2,3180,11.8,1087,5.1,2509,9.3,2573,12,2787,10.4,1457,6.9,576,2.6,230,1,2022,7.5,10.4,10.5,3.2,1,6.6,5.5,1.1,2.7,11,1.3,8.8,53.5,cb8ef00b-4946-41f4-b853-f6e8e0fff2c4,0.00346854088775217,0.270364109810718
330,44830,Mount Remarkable,3422.7733,https://linked.data.gov.au/dataset/asgsed3/LGA2021/44830,911,592,20.9,169,6,421,14.8,392,13.8,156,6.4,354,12.5,270,11.1,303,10.7,136,5.7,77,3.7,23,1.1,205,7.2,14.2,9.6,4.1,1.3,7,5.6,0.8,3.5,8.4,1.2,8.4,51.6,32579e1a-a748-449a-bd72-5435ea7aa965,0.329363678858954,2.76534018386813
331,45040,Murray Bridge,1831.7597,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45040,4576,5280,24.4,1335,6.2,3091,14.3,2650,12.2,1021,5.7,2096,9.7,2491,14,2587,11.9,1548,8.8,491,2.8,185,1.1,1868,8.6,11.9,9.8,3.5,1,7.2,5.3,1.1,2.8,11.3,1.3,8.9,51.3,c3ada22a-86e3-46c5-b62b-97311f10c298,0.181215041178802,2.48959883050192
332,45090,Naracoorte Lucindale,4519.715,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45090,2890,1261,14.9,423,5,894,10.6,940,11.1,309,4.5,713,8.4,546,8,679,8,305,4.5,164,2.4,51,0.7,374,4.3,8.5,8.1,2.3,0.9,4.3,4.1,0.6,1.5,6.8,0.7,6.2,61.5,0cbb54b8-d162-4c47-8f62-73eb46a70176,0.457407232502646,3.0989906054678
333,45120,Northern Areas,2986.1818,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45120,1556,907,19.9,275,6,594,13,608,13.3,205,5.5,414,9.1,374,10.1,452,9.9,201,5.5,116,3.3,41,1.2,320,7,12.7,10.1,3.7,1.2,7.2,5.5,1.4,2.7,10.4,1.1,8.6,53.7,2ea68768-915d-44e9-b1bb-0df7fd602dcc,0.289045402571446,2.74303421757019
334,45290,Norwood Payneham and St Peters,15.1036,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45290,17513,6138,17,1830,5.1,3069,8.5,3081,8.5,1237,4,2340,6.5,2792,9,3279,9.1,1566,5.1,518,1.8,262,0.9,2181,5.8,8.8,7.5,3.2,1.1,4.3,4.3,0.8,1.4,8.8,1,8.6,62.2,b61d2ac3-773e-4e37-8cc8-3ea2b8d71ee0,0.00148964174877619,0.200564792379613
335,45340,Onkaparinga,518.1255,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45340,60037,34672,20.4,10079,5.9,17868,10.5,18802,11,7300,5.3,12146,7.1,14977,10.8,18700,11,8066,5.9,4197,3,1538,1.1,12095,6.9,11.3,10.5,3.5,0.9,6,4.9,1,2.4,11.8,1.2,10,54.2,725fd3df-55a7-48b6-b9fe-0ef9bb0e257f,0.0512699195596724,1.17609338652652
336,45400,Orroroo Carrieton,3321.8239,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45400,331,191,21.8,61,6.9,126,14.4,112,12.8,43,5.8,102,11.6,96,13,101,11.5,52,7.2,23,3.7,7,1.1,70,8,14.4,9.6,3.5,2.3,5.1,7.7,0.6,2.7,9.4,1,8.9,51.2,0817247b-68d6-4b81-9b8f-83d063661402,0.318818713594737,2.54570711116113
337,45540,Peterborough,3020.142,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45540,231,513,30.5,156,9.3,327,19.4,328,19.5,104,7.2,240,14.3,292,20.2,257,15.3,106,7.5,64,5.2,20,1.6,161,9.8,16.4,10.4,4.1,1.2,8.6,7.3,1.2,3.8,13.7,1.6,9.7,40.8,54d0c7f4-5884-45af-b88b-c00fa1d513fb,0.290958425329336,2.31310599406035
338,45680,Playford,345.2038,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45680,21253,23747,25.6,7549,8.1,10107,10.9,11841,12.7,4179,5.9,7295,7.9,9350,13.2,14082,15.2,4708,6.8,4170,5.1,1133,1.4,8373,8.4,10.3,11.7,2.4,0.7,6.7,4,1,2.6,13.1,1,9.7,53.9,35d6c55a-f4cb-47b2-a64b-0c013977f0a9,0.0339592737973362,1.4777550382028
339,45890,Port Adelaide Enfield,91.7588,https://linked.data.gov.au/dataset/asgsed3/LGA2021/45890,42123,23417,18.9,6912,5.6,11702,9.5,11151,9,5081,5,8613,7,9525,9.3,11624,9.4,6265,6.2,2702,2.6,1069,1,9348,7.1,8.9,7.9,2.5,1,5.7,4,0.9,1.9,9.6,1,8.7,60.9,dd8cccdb-e953-44a5-a09e-05bb9dca4c84,0.00904292083305336,0.883850581675214
340,46090,Port Augusta,1157.9905,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46090,3115,3333,25.5,916,7,1662,12.7,1583,12.1,611,5.9,840,6.4,1167,11.3,1570,12,728,7.2,369,3.4,125,1.1,866,6.3,10.2,10.9,3,0.8,7.4,4.6,1.4,2.2,8.4,1,7.2,51.3,092e9a47-aefa-4779-8df0-73e67817668e,0.111226249636275,2.87189384470555
341,46300,Port Lincoln,30.3681,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46300,4102,2522,17.4,861,5.9,1724,11.9,1584,10.9,611,5.3,1144,7.9,1199,10.3,1267,8.7,827,7.2,320,2.7,132,1.1,940,6.5,8.8,9,3,1,5.4,4.2,0.7,2.2,8.3,0.9,7.2,57.6,3509ba77-8449-48ee-a592-6ffa3ea6f854,0.00298888628867644,0.395050539133938
342,46450,Port Pirie,1760.7097,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46450,4273,4691,26.9,1349,7.7,2595,14.9,2827,16.2,910,6.4,2259,13,2396,16.8,3144,18.1,1020,7.3,595,4.3,151,1.1,1560,9,14,10.7,3.3,1.4,8.8,6,1.5,3.5,12.8,1.3,8.6,50.7,0396045b-6455-4163-bac8-a6c50f6ad323,0.170599922013025,2.72866617570826
343,46510,Prospect,7.7915,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46510,10086,3086,14.6,902,4.3,1531,7.3,1775,8.4,673,3.9,1575,7.5,1187,6.8,1402,6.7,829,4.8,342,1.9,158,0.9,1098,4.9,7.2,7.4,2.5,0.6,4.2,3.4,0.6,1.2,8.5,0.7,8,65,925cf12a-6494-471e-b503-2096bc0aec60,0.000768300039453607,0.121920572506909
344,46670,Renmark Paringa,916.442,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46670,2363,1948,19.8,649,6.6,1204,12.3,1220,12.4,447,5.5,768,7.8,972,11.9,1174,12,494,6.2,237,3,104,1.3,690,7.1,11.3,8.8,3.4,1.1,6.6,5.3,0.8,2.5,8.9,1.2,7.2,56.9,ae1ee979-0e1c-499b-bb88-bdd74be0ddf9,0.0896194757947342,2.052571286072
345,46860,Robe,1091.7162,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46860,613,292,20.2,85,5.9,205,14.2,146,10.1,63,5,116,8,116,9.3,158,10.9,65,5.3,29,2.7,7,0.7,58,3.8,10.6,7,4,0.7,5,4.3,1,2.6,8.4,0.4,6.1,60.7,dd1035b8-dc8d-4e2c-83ff-76108bd6a048,0.11078612448182,1.73837753983346
346,46970,Roxby Downs,110.4778,https://linked.data.gov.au/dataset/asgsed3/LGA2021/46970,1522,327,8.2,119,3,225,5.6,254,6.4,86,2.9,196,4.9,92,3.1,141,3.5,127,4.4,71,1.8,40,1,44,1.1,2.4,6.3,1.1,,1.8,1.2,0.4,0.4,5.4,0.1,4.8,68.1,1ef9f61b-ce29-4d31-a874-dcd31aed1889,0.0103862500204741,0.442310026608829
347,47140,Salisbury,159.8432,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47140,36729,28236,19.9,8023,5.7,14525,10.2,13573,9.6,5895,5.2,9830,6.9,12341,10.9,13950,9.8,6754,6.1,3410,2.8,1409,1.2,10950,7.5,9.4,9.3,2.5,0.8,6.8,4,1,2,9.7,1,8.7,59.4,7f6f2d2c-71c2-4cc7-8bf1-b2374f165181,0.0157404893307103,0.683813646021385
348,47290,Southern Mallee,5702.2024,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47290,702,352,17.3,114,5.6,250,12.3,231,11.4,87,5.2,164,8.1,140,8.4,216,10.6,112,6.8,49,3.1,17,1.1,110,5.6,10.4,11.2,2.8,0.9,5.7,5.2,0.7,2.5,9,1.3,6.3,53.5,7e155cef-4d15-45ea-9edb-e38c88fe5ad4,0.565726171135339,3.3455820114053
349,47490,Streaky Bay,6222.8591,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47490,725,,,,,,,,,,,,,,,,,,,,,,,90,4.2,10.5,6.7,3.5,0.8,4.3,4,0.5,2,5.3,1,5.6,59.6,8ec631fb-d22a-48e1-95cc-c155afe1c7ab,0.598484150246804,6.29056952037455
350,47630,Tatiara,6527.2342,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47630,2369,1007,14.9,320,4.7,761,11.3,717,10.6,237,4.3,557,8.2,429,7.8,565,8.4,248,4.6,119,2.2,53,1,312,4.5,8.8,7.4,2.6,0.7,4.5,3.6,0.8,1.5,6.7,0.7,6.1,60.9,8c7531c4-8b3c-4c08-a62c-b7919d67d54c,0.654301868325092,3.75576287639357
351,47700,Tea Tree Gully,95.2109,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47700,41407,18864,19,5221,5.3,10047,10.1,10491,10.6,3823,4.7,8304,8.4,8185,10,10164,10.3,4576,5.7,2050,2.5,788,1,6007,5.9,10.3,9,3.3,0.8,5.7,4.7,0.8,1.7,9.4,0.9,9.1,58.3,b54a0b78-7b46-4e54-9dcd-3f8aa195263c,0.00937901023235099,0.60489168221324
352,47800,Coorong,8833.4339,https://linked.data.gov.au/dataset/asgsed3/LGA2021/47800,1566,1143,21.1,347,6.4,747,13.8,865,16,262,5.9,570,10.5,578,13.1,526,9.7,288,6.6,143,3.4,52,1.2,362,6.6,12.9,9.5,3.5,0.7,6.1,5.8,1.3,2.9,9.4,1.2,8.8,50.4,b35c04cc-7a0a-4089-a4dd-9996283cad09,0.879835043661842,6.36370502731968
