OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Median equivalised total household income (weekly) ($) (Data year: 2021),Median household income (yearly)
187,25620,Murrindindi,3879.7505,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25620,856,44512
188,25710,Nillumbik,432.3373,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25710,1373,71396
189,25810,Northern Grampians,5729.8765,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25810,762,39624
190,25900,Port Phillip,20.6141,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25900,1602,83304
191,25990,Pyrenees,3434.5687,https://linked.data.gov.au/dataset/asgsed3/LGA2021/25990,728,37856
192,26080,Queenscliffe,8.6166,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26080,1065,55380
193,26170,South Gippsland,3296.3307,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26170,824,42848
194,26260,Southern Grampians,6654.0186,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26260,849,44148
195,26350,Stonnington,25.651,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26350,1672,86944
196,26430,Strathbogie,3303.2568,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26430,804,41808
197,26490,Surf Coast,1552.944,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26490,1231,64012
198,26610,Swan Hill,6115.5373,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26610,877,45604
199,26670,Towong,6675.1725,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26670,846,43992
200,26700,Wangaratta,3645.1096,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26700,872,45344
201,26730,Warrnambool,120.9487,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26730,937,48724
202,26810,Wellington,10817.4231,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26810,834,43368
203,26890,West Wimmera,9108.6794,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26890,811,42172
204,26980,Whitehorse,64.2801,https://linked.data.gov.au/dataset/asgsed3/LGA2021/26980,1121,58292
205,27070,Whittlesea,489.6938,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27070,992,51584
206,27170,Wodonga,433.0021,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27170,972,50544
207,27260,Wyndham,542.0943,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27260,1094,56888
208,27350,Yarra,19.5421,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27350,1705,88660
209,27450,Yarra Ranges,2468.2052,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27450,1080,56160
210,27630,Yarriambiack,7325.797,https://linked.data.gov.au/dataset/asgsed3/LGA2021/27630,736,38272
211,29399,Unincorporated Vic,283.1903,https://linked.data.gov.au/dataset/asgsed3/LGA2021/29399,1095,56940
212,29499,No usual address (Vic.),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/29499,,0
213,29799,Migratory - Offshore - Shipping (Vic.),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/29799,,0
214,30250,Aurukun,7423.9891,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30250,468,24336
215,30300,Balonne,31104.0851,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30300,911,47372
216,30370,Banana,28550.1626,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30370,1080,56160
217,30410,Barcaldine,53382.654,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30410,973,50596
218,30450,Barcoo,61830.1679,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30450,1258,65416
219,30760,Blackall Tambo,30537.248,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30760,817,42484
220,30900,Boulia,60906.4695,https://linked.data.gov.au/dataset/asgsed3/LGA2021/30900,1095,56940
